Name	Last	Chg. % 1DChg. Abs.	DateTime	ISIN	BidVolume	AskVolume	Maturity	Status
AT&S Unda.Res.Fixed.Subo.Notes	89.760	0.00%0.000	07/02/202517:30:20	XS2432941693	--	--	open-end	D
Borealis 1,75 % Notes 18-25	99.860	0.00%0.000	07/02/202517:30:11	AT0000A24UY3	--	--	12/10/2025	D
voestalpine3.75%GreenN.24-29/1	103.500	-0.10%-0.100	07/02/202517:30:08	AT0000A3FA05	--	--	10/03/2029	D
CA Immo 1% Green Bonds 20-25	99.560	0.00%0.000	07/02/202517:30:05	XS2248827771	--	--	10/27/2025	D
HVbg 0,86% Anl. 19-34/S.179	77.100	-0.45%-0.350	07/02/202517:07:02	XS2069329964	--	--	10/24/2034	D
HypoVbg 0,36% IHS 20-26/S.182	97.250	+0.05%+0.050	07/02/202517:07:02	XS2100387526	--	--	01/09/2026	D
HVbg 1,02% SV 20-35/DIP S183	76.700	-0.45%-0.350	07/02/202517:07:02	XS2104132514	--	--	01/17/2035	D
HVbg 0,23% Notes 21-29/S.219	89.150	-0.11%-0.100	07/02/202517:07:02	XS2327980509	--	--	04/06/2029	D
HVbg 0,375% Notes 20-30/S.212	84.700	-0.24%-0.200	07/02/202517:07:02	XS2252219105	--	--	11/04/2030	D
HVbg var SV 19-29/S.175	97.100	0.00%0.000	07/02/202517:07:02	XS2037749749	--	--	08/07/2029	D
HVbg 0,741% Anl.19-36/S.178	71.150	-0.56%-0.400	07/02/202517:07:02	XS2066563524	--	--	10/16/2036	D
HVbg Fix/Swap-li-FRN 18-28/158	94.700	0.00%0.000	07/02/202517:07:01	XS1859330752	--	--	07/24/2028	D
HWBB 3,00% WB-WA 24-34/14/VBG	97.700	-0.41%-0.400	07/02/202517:07:01	AT0000A3FMW2	--	--	10/23/2034	D
HVbg 2,60% Anl.25-28/S.290	100.050	0.00%0.000	07/02/202517:07:01	AT0000A3K8W6	--	--	03/24/2028	D
HWBB 3,15% WB-WA 25-35/6  VBG	98.850	-0.40%-0.400	07/02/202517:07:01	AT0000A3HRE5	--	--	02/19/2035	D
HVbg fix/swap Rate Notes 01-31	99.500	-0.20%-0.200	07/02/202517:07:01	XS0132540955	--	--	07/11/2031	D
HVbg Fix/Swap-li-FRN 18-28/163	95.200	+0.05%+0.050	07/02/202517:07:01	XS1915000753	--	--	11/27/2028	D
HVbg 3,25% Anl.24-27II/S.281	101.100	0.00%0.000	07/02/202517:07:01	AT0000A3DYL5	--	--	07/23/2027	D
HVbg 3,30% Anl.24-29/S.282	101.250	-0.15%-0.150	07/02/202517:07:01	AT0000A3DYM3	--	--	07/23/2029	D
Hypo Vbg. 3% Anl.25-30/S.288	99.950	+0.10%+0.100	07/02/202517:07:01	AT0000A3HN16	--	--	01/21/2030	D
HVbg CMS Floater25-33/S.293	95.150	+0.05%+0.050	07/02/202517:07:01	AT0000A3L7J4	--	--	04/25/2033	D
HVbg Fix/Swap-li-FRN 18-28/161	95.450	0.00%0.000	07/02/202517:07:01	XS1892228401	--	--	10/11/2028	D
HVbg var-SV 19-29/S.170	96.750	0.00%0.000	07/02/202517:07:01	XS2002726847	--	--	05/27/2029	D
HVbg Fix/Swap-li-FRN 18-28/159	95.150	+0.05%+0.050	07/02/202517:07:01	XS1877653581	--	--	09/13/2028	D
HVbg 2,85% KMU Anl.24-29/S.287	99.400	-0.10%-0.100	07/02/202517:07:01	AT0000A3FWL4	--	--	01/16/2029	D
HVbg 3,25% Anleihe 24-27/S.269	100.650	0.00%0.000	07/02/202517:07:00	AT0000A39K87	--	--	01/15/2027	D
HWBB 4,00% WB-WA 23-33/18 VBG	108.150	-0.37%-0.400	07/02/202517:07:00	AT0000A38J81	--	--	12/22/2033	D
HWBB 3,50% WB-WA 24-34/4 VBG	102.950	-0.39%-0.400	07/02/202517:07:00	AT0000A3A1Y9	--	--	02/21/2034	D
